City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
388,Shimoda,JP,82.76,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
389,Hambantota,LK,78.55,overcast clouds,6.1241,81.1185,Bungalow 63
392,Charagua,BO,80.17,clear sky,-19.8,-63.2167,Hotel
396,Lodwar,KE,83.59,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
401,Santa Rosa,PH,83.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
405,Swan River,CA,76.89,broken clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
406,Eyl,SO,76.15,broken clouds,7.9803,49.8164,Amiin Hotel
413,Durgapur,IN,81.19,overcast clouds,23.4833,87.3167,OYO 23635 Sher E Bengal
416,Pocerski Pričinović,RS,82.45,broken clouds,44.7222,19.7072,Hostel BLUEBERRY Sabac
418,Fare,PF,79.39,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
426,Katsuura,JP,86.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
427,Yashiro,JP,87.15,overcast clouds,34.9167,134.9667,ホテルジィニア(Xenia)滝野社
431,Rumford,US,78.4,light rain,44.5537,-70.5509,coastal rentals llc
