City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
264,Alberton,CA,2021-08-06 02:12:04,46.8168,-64.0654,67.5,97,100,11.52
265,Ulaangom,MN,2021-08-06 02:12:05,49.9811,92.0667,62.22,63,100,4.85
266,State College,US,2021-08-06 02:08:26,40.7934,-77.86,70.41,87,40,1.01
267,Talnakh,RU,2021-08-06 02:12:05,69.4865,88.3972,72.79,56,100,1.81
268,Salihli,TR,2021-08-06 02:12:06,38.4826,28.1477,81.79,29,0,2.1
269,Marsabit,KE,2021-08-06 02:12:06,2.3284,37.9899,59.36,74,96,19.08
270,Kisangani,CD,2021-08-06 02:12:07,0.5167,25.2,69.42,96,38,1.68
271,Verkhnyaya Toyma,RU,2021-08-06 02:12:07,62.2349,44.9985,49.82,83,99,3.8
272,Gubbi,IN,2021-08-06 02:12:07,13.3106,76.9444,71.6,82,100,13.51
273,Petropavlovka,RU,2021-08-06 02:12:08,50.6114,105.3196,69.46,72,79,0.98
274,Luanda,AO,2021-08-06 02:12:08,-8.8368,13.2343,71.58,81,99,5.66
275,Mazagao,BR,2021-08-06 02:12:08,-0.115,-51.2894,82.45,87,5,2.64
276,Rocha,UY,2021-08-06 02:12:09,-34.4833,-54.3333,56.91,89,65,9.73
277,Kununurra,AU,2021-08-06 02:12:09,-15.7667,128.7333,76.98,15,1,13.8
278,Sembe,CG,2021-08-06 02:12:09,1.6481,14.5806,73.42,84,82,4.45
279,Porto Novo,BJ,2021-08-06 02:12:10,6.4965,2.6036,75.06,88,92,6.2
280,Ravar,IR,2021-08-06 02:12:10,31.2656,56.8055,77.86,21,0,2.59
281,Sarkand,KZ,2021-08-06 02:12:11,45.41,79.9186,73.51,31,0,4.14
282,Saa,CM,2021-08-06 02:12:11,4.3667,11.45,68.81,97,100,4.18
283,Marawi,PH,2021-08-06 02:12:11,7.9986,124.2928,83.64,52,99,4.29
284,Najran,SA,2021-08-06 02:12:12,17.4924,44.1277,81.45,45,86,7.2
285,Ahipara,NZ,2021-08-06 02:12:12,-35.1667,173.1667,57.61,83,33,17.22
286,Totma,RU,2021-08-06 02:12:13,59.9747,42.7642,53.29,71,100,3.2
287,Saskylakh,RU,2021-08-06 02:12:13,71.9167,114.0833,60.55,39,9,12.73
288,Yumen,CN,2021-08-06 02:07:45,40.2833,97.2,81.19,13,30,3.44
289,Nizwa,OM,2021-08-06 02:12:13,22.9333,57.5333,88.18,40,18,1.97
290,Erdenet,MN,2021-08-06 02:12:14,49.0333,104.0833,67.19,64,100,4.14
291,Geri,CY,2021-08-06 02:12:14,35.1,33.4167,80.62,65,0,6.91
292,Gondanglegi,ID,2021-08-06 02:12:14,-7.7479,112.0132,83.82,65,97,5.95
293,Eureka,US,2021-08-06 02:12:15,40.8021,-124.1637,74.68,79,73,5.01
294,Vardo,NO,2021-08-06 02:12:15,70.3705,31.1107,50.77,81,46,4.12
295,Gambela,ET,2021-08-06 02:12:16,8.25,34.5833,69.69,82,91,3.27
